x;n = 10;n = 25;n = 50;n = 100
0,59799;6,25E-06;3,06E-12;1,58E-16;1,58E-16
0,59642;6,54E-06;3,39E-12;1,44E-16;1,44E-16
0,59485;6,84E-06;3,77E-12;1,48E-16;1,48E-16
0,59328;7,16E-06;4,17E-12;1,51E-16;1,51E-16
0,59171;7,49E-06;4,63E-12;1,66E-16;1,66E-16
0,59014;7,83E-06;5,13E-12;1,51E-16;1,51E-16
0,58857;8,18E-06;5,68E-12;1,59E-16;1,59E-16
0,587;8,55E-06;6,29E-12;1,47E-16;1,47E-16
0,58543;8,94E-06;6,96E-12;1,54E-16;1,54E-16
0,58386;9,34E-06;7,70E-12;1,51E-16;1,51E-16
0,58229;9,76E-06;8,51E-12;1,67E-16;1,67E-16
0,58072;1,02E-05;9,41E-12;1,72E-16;1,72E-16
0,57915;1,07E-05;1,04E-11;1,55E-16;1,55E-16
0,57758;1,11E-05;1,15E-11;1,66E-16;1,66E-16
0,57601;1,16E-05;1,27E-11;1,62E-16;1,62E-16
0,57444;1,21E-05;1,40E-11;1,47E-16;1,47E-16
0,57287;1,27E-05;1,54E-11;1,62E-16;1,62E-16
0,5713;1,32E-05;1,70E-11;1,80E-16;1,80E-16
0,56973;1,38E-05;1,88E-11;1,61E-16;1,61E-16
0,56816;1,44E-05;2,07E-11;1,54E-16;1,54E-16
0,56659;1,50E-05;2,28E-11;1,67E-16;1,67E-16
0,56502;1,57E-05;2,51E-11;1,53E-16;1,53E-16
0,56345;1,63E-05;2,77E-11;1,56E-16;1,56E-16
0,56188;1,70E-05;3,05E-11;1,83E-16;1,83E-16
0,56031;1,78E-05;3,36E-11;1,57E-16;1,57E-16
0,55874;1,85E-05;3,69E-11;1,59E-16;1,59E-16
0,55717;1,93E-05;4,06E-11;1,57E-16;1,57E-16
0,5556;2,01E-05;4,46E-11;1,56E-16;1,56E-16
0,55403;2,10E-05;4,91E-11;1,58E-16;1,58E-16
0,55246;2,19E-05;5,39E-11;1,84E-16;1,84E-16
0,55089;2,28E-05;5,92E-11;1,56E-16;1,56E-16
0,54932;2,37E-05;6,50E-11;1,63E-16;1,63E-16
0,54775;2,47E-05;7,14E-11;1,50E-16;1,50E-16
0,54618;2,57E-05;7,83E-11;1,60E-16;1,60E-16
0,54461;2,68E-05;8,59E-11;1,70E-16;1,70E-16
0,54304;2,79E-05;9,42E-11;2,01E-16;2,01E-16
0,54147;2,91E-05;1,03E-10;1,61E-16;1,61E-16
0,5399;3,02E-05;1,13E-10;1,76E-16;1,76E-16
0,53833;3,15E-05;1,24E-10;1,65E-16;1,65E-16
0,53676;3,28E-05;1,36E-10;1,57E-16;1,57E-16
0,53519;3,41E-05;1,49E-10;1,69E-16;1,69E-16
0,53362;3,55E-05;1,63E-10;1,90E-16;1,90E-16
0,53205;3,69E-05;1,78E-10;1,63E-16;1,63E-16
0,53048;3,84E-05;1,95E-10;1,64E-16;1,64E-16
0,52891;3,99E-05;2,13E-10;1,64E-16;1,64E-16
0,52734;4,15E-05;2,33E-10;1,83E-16;1,83E-16
0,52577;4,32E-05;2,55E-10;1,76E-16;1,76E-16
0,5242;4,49E-05;2,79E-10;1,70E-16;1,70E-16
0,52263;4,67E-05;3,05E-10;1,73E-16;1,73E-16
0,52106;4,85E-05;3,33E-10;1,69E-16;1,69E-16
0,51949;5,05E-05;3,64E-10;1,74E-16;1,74E-16
0,51792;5,24E-05;3,97E-10;1,84E-16;1,84E-16
0,51635;5,45E-05;4,33E-10;1,63E-16;1,63E-16
0,51478;5,66E-05;4,73E-10;1,78E-16;1,78E-16
